time,open,high,low,close,tick_volume,spread,real_volume
2024-06-12,67229.11,70020.75,66882.65,68074.63,258596,0,0
2024-06-13,68161.21,68623.86,66205.58,66635.94,366030,0,0
2024-06-14,66700.14,67327.07,64981.07,65693.82,362137,0,0
2024-06-15,66150.3,66423.88,65787.61,66016.48,221612,0,0
2024-06-16,66003.03,66761.01,65979.92,66447.98,191450,0,0
2024-06-17,66415.93,67269.26,64998.96,66415.25,350057,0,0
2024-06-18,66476.65,66717.46,63944.61,64895.68,349012,0,0
2024-06-19,64895.03,65713.87,64622.04,64831.18,189143,0,0
2024-06-20,64924.29,66456.07,64494.69,65026.4,236068,0,0
2024-06-21,64990.29,65143.49,63280.54,64086.42,257838,0,0
2024-06-22,64139.33,64492.88,63893.57,64265.79,89475,0,0
2024-06-23,64246.25,64493.47,63553.94,63648.95,112803,0,0
2024-06-24,63829.75,63830.0,58384.53,59457.16,269178,0,0
2024-06-25,59380.8,61568.73,59343.17,60953.13,80426,0,0
